EVTYPE;EVTYPE_New
WND;WIND
WINTRY MIX;Winter Weather
Wintry Mix;Winter Weather
Wintry mix;Winter Weather
WINTERY MIX;Winter Weather
WINTER WEATHER/MIX;Winter Weather
WINTER WEATHER MIX;Winter Weather
WINTER WEATHER;Winter Weather
Winter Weather;Winter Weather
WINTER STORMS;WINTER STORMS
WINTER STORM/HIGH WINDS;WINTER STORMS
WINTER STORM/HIGH WIND;WINTER STORMS
WINTER STORM HIGH WINDS;WINTER STORMS
WINTER STORM;WINTER STORMS
WINTER MIX;Winter Weather
WINDS;WIND
WIND/HAIL;WIND/HAIL
WIND STORM;WIND STORM
WIND GUSTS;WIND GUSTS
WIND DAMAGE;WIND DAMAGE
Wind Damage;WIND DAMAGE
WIND CHILL/HIGH WIND;WIND CHILL
WIND CHILL;WIND CHILL
WIND AND WAVE;WIND AND WAVE
WIND ADVISORY;WIND ADVISORY
WIND;WIND
Wind;WIND
WILDFIRES;WILD/FOREST FIRE
WILDFIRE;WILD/FOREST FIRE
WILD/FOREST FIRES;WILD/FOREST FIRE
WILD/FOREST FIRE;WILD/FOREST FIRE
WILD FIRES;WILD/FOREST FIRE
WHIRLWIND;WILD/FOREST FIRE
Whirlwind;Whirlwind
Wet Year;Wet Year
WET WEATHER;WET WEATHER
WET SNOW;WET SNOW
Wet Month;Wet Month
WET MICROBURST;WET MICROBURST
wet micoburst;WET MICROBURST
WAYTERSPOUT;WATER SPOUT
WATERSPOUTS;WATER SPOUT
WATERSPOUT/TORNADO;WATER SPOUT
WATERSPOUT/ TORNADO;WATER SPOUT
WATERSPOUT/;WATER SPOUT
WATERSPOUT TORNADO;WATER SPOUT
WATERSPOUT FUNNEL CLOUD;WATER SPOUT
WATERSPOUT-TORNADO;WATER SPOUT
WATERSPOUT-;WATER SPOUT
WATERSPOUT;WATER SPOUT
WATER SPOUT;WATER SPOUT
WARM WEATHER;WARM WEATHER
WARM DRY CONDITIONS;WARM DRY CONDITIONS
WALL CLOUD/FUNNEL CLOUD;WALL CLOUD/FUNNEL CLOUD
WALL CLOUD;WALL CLOUD/FUNNEL CLOUD
WAKE LOW WIND;WAKE LOW WIND
VOLCANIC ERUPTION;VOLCANIC ERUPTION
VOLCANIC ASHFALL;VOLCANIC ERUPTION
Volcanic Ash Plume;VOLCANIC ERUPTION
VOLCANIC ASH;VOLCANIC ERUPTION
Volcanic Ash;VOLCANIC ERUPTION
VOG;VOG
VERY WARM;UNUSUALLY WARM
VERY DRY;VERY DRY
URBAN/STREET FLOODING;URBAN/STREET FLOODING
URBAN/SML STREAM FLDG;URBAN/STREET FLOODING
URBAN/SML STREAM FLD;URBAN/STREET FLOODING
URBAN/SMALL STRM FLDG;URBAN/STREET FLOODING
URBAN/SMALL STREAM FLOODING;URBAN/STREET FLOODING
URBAN/SMALL STREAM FLOOD;URBAN/STREET FLOODING
URBAN/SMALL STREAM  FLOOD;URBAN/STREET FLOODING
URBAN/SMALL STREAM;URBAN/STREET FLOODING
URBAN/SMALL FLOODING;URBAN/STREET FLOODING
URBAN/SMALL;URBAN/STREET FLOODING
URBAN SMALL STREAM FLOOD;URBAN/STREET FLOODING
URBAN SMALL;URBAN/STREET FLOODING
URBAN FLOODS;URBAN/STREET FLOODING
URBAN FLOODING;URBAN/STREET FLOODING
Urban Flooding;URBAN/STREET FLOODING
URBAN FLOOD LANDSLIDE;URBAN/STREET FLOODING
URBAN FLOOD;URBAN/STREET FLOODING
Urban Flood;URBAN/STREET FLOODING
Urban flood;URBAN/STREET FLOODING
URBAN AND SMALL STREAM FLOODIN;URBAN/STREET FLOODING
URBAN AND SMALL STREAM FLOOD;URBAN/STREET FLOODING
URBAN AND SMALL STREAM;URBAN/STREET FLOODING
URBAN AND SMALL;URBAN/STREET FLOODING
UNUSUALLY WARM;UNUSUALLY WARM
UNUSUALLY LATE SNOW;UNUSUALLY LATE SNOW
UNUSUALLY COLD;UNUSUALLY COLD
UNUSUAL/RECORD WARMTH;UNUSUALLY WARM
UNUSUAL WARMTH;UNUSUALLY WARM
UNSEASONAL RAIN;UNSEASONAL RAIN
UNSEASONAL LOW TEMP;UNUSUALLY COLD
UNSEASONABLY WET;UNSEASONABLY WET
UNSEASONABLY WARM/WET;UNSEASONABLY WARM & WET
UNSEASONABLY WARM YEAR;UNUSUALLY WARM
UNSEASONABLY WARM AND DRY;UNSEASONABLY WARM AND DRY
UNSEASONABLY WARM & WET;UNSEASONABLY WARM & WET
UNSEASONABLY WARM;UNUSUALLY WARM
UNSEASONABLY HOT;UNUSUALLY WARM
UNSEASONABLY DRY;UNSEASONABLY DRY
UNSEASONABLY COOL & WET;UNUSUALLY COLD
UNSEASONABLY COOL;UNUSUALLY COLD
UNSEASONABLY COLD;UNUSUALLY COLD
Unseasonable Cold;UNUSUALLY COLD
TYPHOON;TYPHOON
TUNDERSTORM WIND;TUNDERSTORM WIND
TSUNAMI;TSUNAMI
TSTMW;TSTMW
TSTM WND;TUNDERSTORM WIND
TSTM WINDS;TUNDERSTORM WIND
TSTM WIND/HAIL;TUNDERSTORM WIND
TSTM WIND G58;TUNDERSTORM WIND
TSTM WIND G45;TUNDERSTORM WIND
TSTM WIND DAMAGE;TUNDERSTORM WIND
TSTM WIND AND LIGHTNING;TUNDERSTORM WIND
TSTM WIND 65);TUNDERSTORM WIND
TSTM WIND 55;TUNDERSTORM WIND
TSTM WIND 52;TUNDERSTORM WIND
TSTM WIND 51;TUNDERSTORM WIND
TSTM WIND 50;TUNDERSTORM WIND
TSTM WIND 45;TUNDERSTORM WIND
TSTM WIND 40;TUNDERSTORM WIND
TSTM WIND (G45);TUNDERSTORM WIND
TSTM WIND (G40);TUNDERSTORM WIND
TSTM WIND (G35);TUNDERSTORM WIND
TSTM WIND (41);TUNDERSTORM WIND
TSTM WIND  (G45);TUNDERSTORM WIND
TSTM WIND;TUNDERSTORM WIND
Tstm Wind;TUNDERSTORM WIND
